liability,selection,candidate_model,benchmark_model,bootstrap_method,block_length,aggregation,tail_probability,inference_version,level,ticker,n_tickers,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_bootstrap,confidence
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_rmse_improvement,0.0015157671404075017,-0.009083821756294352,0.013508375583428545,0.63,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,NVDA,1,liability_offset_downside_deviation_improvement,-0.006006697402489161,-0.01903564134233312,0.0070840508115143355,0.207,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_mean_difference,0.002282863260979288,-0.002767451136375899,0.007214747033295409,0.831,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_cvar50_difference,0.004772628767878852,-9.121284900024507e-06,0.009294197813208638,0.9745,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_rmse_improvement,0.0013769990410722594,-0.0015748886153517379,0.004488081931274653,0.8285,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,QQQ,1,liability_offset_downside_deviation_improvement,0.0010561182356974078,-0.002545363071671663,0.00489434270317607,0.731,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_mean_difference,0.00012137766920078802,-0.005132191001501948,0.005273317129366586,0.5125,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_cvar50_difference,0.0033842926239725257,-0.002804972470795194,0.009091142920703715,0.8645,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_rmse_improvement,0.001958013135567921,-0.0019259941017297948,0.005891396291514562,0.841,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,SPY,1,liability_offset_downside_deviation_improvement,0.001666534024347327,-0.0027809361465443772,0.006060562133081499,0.77,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_mean_difference,0.017926524169504344,0.010834005506985229,0.024620426054287593,1.0,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_cvar50_difference,0.008756697174126358,-8.248272784331452e-05,0.01704482619496289,0.973,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_rmse_improvement,-0.00556567275078478,-0.011303475094655992,0.00026060895319191544,0.0325,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,TLT,1,liability_offset_downside_deviation_improvement,-0.0009001337138385725,-0.007823005934057195,0.006730367616410006,0.425,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_mean_difference,0.0028258672152277503,-0.006797270732062093,0.010575162647763411,0.751,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_cvar50_difference,-0.0006117006676367743,-0.014367811614933983,0.009109979244568365,0.483,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_rmse_improvement,-0.00977890749015986,-0.024584736669097555,0.003312873505811374,0.0935,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLE,1,liability_offset_downside_deviation_improvement,-0.009903144594677163,-0.025645863293410887,0.004104290807935375,0.1045,2000,0.95
