artifact_dir,model_name,model_family,seed,risk_measure,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,best_epoch,best_score
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_10_weighted_0_learnw_0,proto_source=vanilla_k=10_weighted=0_learnw=0,proto,1234,cvar,vanilla,10.0,False,False,743,-0.7569960642854373
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_10_weighted_1_learnw_0,proto_source=vanilla_k=10_weighted=1_learnw=0,proto,1234,cvar,vanilla,10.0,True,False,533,-0.7648965479362578
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_25_weighted_0_learnw_0,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,1234,cvar,vanilla,25.0,False,False,525,-0.7900175830579939
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_25_weighted_1_learnw_0,proto_source=vanilla_k=25_weighted=1_learnw=0,proto,1234,cvar,vanilla,25.0,True,False,707,-0.7041482353565238
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_50_weighted_0_learnw_0,proto_source=vanilla_k=50_weighted=0_learnw=0,proto,1234,cvar,vanilla,50.0,False,False,710,-0.7923837247419925
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_vanilla_k_50_weighted_1_learnw_0,proto_source=vanilla_k=50_weighted=1_learnw=0,proto,1234,cvar,vanilla,50.0,True,False,580,-0.7486702308129697
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/vanilla,vanilla,vanilla,1234,cvar,,,,,755,-0.6959074378510316
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_100_weighted_0_learnw_0,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,2345,cvar,spot_delta,100.0,False,False,752,-0.7491252933797383
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_100_weighted_1_learnw_0,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,2345,cvar,spot_delta,100.0,True,False,477,-0.7051682789694695
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,2345,cvar,spot_delta,10.0,False,False,732,-0.7548820847769577
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_10_weighted_1_learnw_0,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,2345,cvar,spot_delta,10.0,True,False,666,-0.7065162152264799
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,2345,cvar,spot_delta,25.0,False,False,471,-0.7474005849375611
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_25_weighted_1_learnw_0,proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,2345,cvar,spot_delta,25.0,True,False,472,-0.7303177113972958
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_50_weighted_0_learnw_0,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,2345,cvar,spot_delta,50.0,False,False,566,-0.7108034395816779
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_spot_delta_k_50_weighted_1_learnw_0,proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,2345,cvar,spot_delta,50.0,True,False,777,-0.7516913694498084
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_100_weighted_0_learnw_0,proto_source=vanilla_k=100_weighted=0_learnw=0,proto,2345,cvar,vanilla,100.0,False,False,572,-0.6203225628322079
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_100_weighted_1_learnw_0,proto_source=vanilla_k=100_weighted=1_learnw=0,proto,2345,cvar,vanilla,100.0,True,False,252,-0.6264685844310692
/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_2345/risk_cvar/proto_source_vanilla_k_10_weighted_0_learnw_0,proto_source=vanilla_k=10_weighted=0_learnw=0,proto,2345,cvar,vanilla,10.0,False,False,676,-0.657824815632332
