regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob,seed,analysis_label,paper_label
vol_regime,mid_vol,vanilla_gains,224,1.771490153628942,0.26639537364244464,0.11820223502581939,0.008928571428571428,3456,vanilla,Vanilla DH
vol_regime,mid_vol,proto_mean_gains,224,1.7058793562027859,0.3379582777619362,0.051370921661145985,0.03125,3456,proto_mean,ProtoHedge (Mean frontier)
vol_regime,mid_vol,proto_tail_gains,224,1.6830540381301293,0.1458560012280941,-0.0025246551958844066,0.017857142857142856,3456,proto_tail,ProtoHedge (Tail frontier)
vol_regime,high_vol,unhedged_gains,225,-0.02279362784491645,-0.07976140975952148,-0.1272650957107544,0.5955555555555555,3456,unhedged,Unhedged
vol_regime,high_vol,spot_delta_gains,225,-0.022390418263385073,-0.07915188521146774,-0.12081797793507576,0.8,3456,spot_delta,Spot-Delta
vol_regime,high_vol,vanilla_gains,225,1.8961993580477106,0.23259651362895967,0.03333485390370091,0.008888888888888889,3456,vanilla,Vanilla DH
vol_regime,high_vol,proto_mean_gains,225,1.8389732774264282,0.13251901865005494,-0.050162630466123424,0.022222222222222223,3456,proto_mean,ProtoHedge (Mean frontier)
vol_regime,high_vol,proto_tail_gains,225,1.8752683149609302,0.1409209668636322,-0.02086380838106076,0.013333333333333334,3456,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,mild_dd,unhedged_gains,225,-0.009563097423977322,-0.05551488399505615,-0.08253673712412517,0.28,3456,unhedged,Unhedged
drawdown_regime,mild_dd,spot_delta_gains,225,-0.010668299486407906,-0.055378602445125574,-0.08073791240652402,0.6488888888888888,3456,spot_delta,Spot-Delta
drawdown_regime,mild_dd,vanilla_gains,225,1.4693019340383924,0.13976568281650545,-0.06953654075429465,0.022222222222222223,3456,vanilla,Vanilla DH
drawdown_regime,mild_dd,proto_mean_gains,225,1.4490707613776128,0.13462118804454806,-0.03174807922914624,0.022222222222222223,3456,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,mild_dd,proto_tail_gains,225,1.4581512414995168,0.1506791412830353,-0.03435488495354851,0.022222222222222223,3456,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,mid_dd,unhedged_gains,224,-0.025113320776394436,-0.07329279780387879,-0.11684075991312663,0.7544642857142857,3456,unhedged,Unhedged
drawdown_regime,mid_dd,spot_delta_gains,224,-0.024510020324409458,-0.07422892451286316,-0.11033874688049157,0.8392857142857143,3456,spot_delta,Spot-Delta
drawdown_regime,mid_dd,vanilla_gains,224,1.5791368608978311,0.14155723974108697,0.022762744532277186,0.026785714285714284,3456,vanilla,Vanilla DH
drawdown_regime,mid_dd,proto_mean_gains,224,1.5653225156378798,0.21409619301557542,0.025746523402631283,0.022321428571428572,3456,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,mid_dd,proto_tail_gains,224,1.6056101955203173,0.2858669221401215,0.11538704930959891,0.008928571428571428,3456,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,deep_dd,unhedged_gains,225,-0.030891733169555666,-0.06644024848937988,-0.07977985342343648,0.9288888888888889,3456,unhedged,Unhedged
drawdown_regime,deep_dd,spot_delta_gains,225,-0.028962514383472606,-0.06249522119760513,-0.07985241121302049,0.9555555555555556,3456,spot_delta,Spot-Delta
drawdown_regime,deep_dd,vanilla_gains,225,1.8919632117088057,0.14055056869983673,0.03918234035760785,0.008888888888888889,3456,vanilla,Vanilla DH
drawdown_regime,deep_dd,proto_mean_gains,225,1.8652466565122208,0.15778399705886845,0.012883023203661045,0.022222222222222223,3456,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,deep_dd,proto_tail_gains,225,1.8151318660544025,0.10365075469017031,0.004138420335948467,0.013333333333333334,3456,proto_tail,ProtoHedge (Tail frontier)
