model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=vanilla_k=50_weighted=1_learnw=0,test,1234,proto,5.206509590148926,2.8043878078460693,-0.10249873250722885,1.135133981704712,0.3559355139732361,4.920126914978027,10.413145065307617,0.016320474777448073,-0.020197231322526932,5.243674278259277,0.01696726679801941,0.9339239001274109,4.0,1.3530299663543701,2.0,cvar,674.0,20.0,2.0,vanilla,50.0,True,False,3.0674936771392822,5.039688587188721
proto_source=vanilla_k=50_weighted=0_learnw=0,train,1234,proto,5.263584613800049,2.6950721740722656,0.17834600806236267,1.4699832201004028,0.7842376232147217,4.903164863586426,10.492687225341797,0.00414144632048423,-0.021356062963604927,5.302924156188965,0.017982782796025276,1.0581250190734863,4.0,1.4350264072418213,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,50.0,False,False,3.061443567276001,5.092884540557861
proto_source=vanilla_k=50_weighted=0_learnw=0,val,1234,proto,5.345681667327881,2.692589044570923,0.18290656805038452,1.6412111520767212,0.9201688170433044,4.940732002258301,10.620616912841797,0.004464285714285714,-0.021169060841202736,5.385109901428223,0.018258897587656975,1.0770152807235718,4.0,1.4429380893707275,2.000000238418579,cvar,672.0,20.0,2.0,vanilla,50.0,False,False,3.061443567276001,5.092884540557861
proto_source=vanilla_k=50_weighted=0_learnw=0,test,1234,proto,5.152255535125732,2.8067383766174316,-0.0005940301343798637,1.1802537441253662,0.35020387172698975,4.855019569396973,10.425894737243652,0.010385756676557863,-0.020197231322526932,5.189985752105713,0.017533011734485626,1.0330431461334229,4.0,1.4409407377243042,2.0,cvar,674.0,20.0,2.0,vanilla,50.0,False,False,3.061443567276001,5.092884540557861
proto_source=vanilla_k=100_weighted=1_learnw=0,train,1234,proto,5.170376777648926,2.723250150680542,0.2822202146053314,1.3683446645736694,0.72954261302948,4.7894158363342285,10.536273002624512,0.00414144632048423,-0.021356062963604927,5.209414005279541,0.017681753262877464,1.0001566410064697,4.0,1.4807955026626587,2.0,cvar,3139.0,20.0,2.0,vanilla,100.0,True,False,2.899822950363159,5.051379680633545
proto_source=vanilla_k=100_weighted=1_learnw=0,val,1234,proto,5.241190433502197,2.676570415496826,0.47963324189186096,1.433794379234314,0.8827311992645264,4.81525993347168,10.544083595275879,0.001488095238095238,-0.021169060841202736,5.280318260192871,0.017958788201212883,1.019607424736023,4.0,1.4909354448318481,2.000000238418579,cvar,672.0,20.0,2.0,vanilla,100.0,True,False,2.899822950363159,5.051379680633545
proto_source=vanilla_k=100_weighted=1_learnw=0,test,1234,proto,5.091123104095459,2.7669973373413086,0.029479030519723892,1.0943487882614136,0.48413264751434326,4.8058037757873535,10.184982299804688,0.010385756676557863,-0.020197231322526932,5.128700256347656,0.017379572615027428,0.984686017036438,4.0,1.4870305061340332,2.0,cvar,674.0,20.0,2.0,vanilla,100.0,True,False,2.899822950363159,5.051379680633545
proto_source=vanilla_k=100_weighted=0_learnw=0,train,1234,proto,5.161404609680176,2.754469156265259,0.07266034185886383,1.200348973274231,0.511452853679657,4.737734317779541,10.523184776306152,0.00796431984708506,-0.021356062963604927,5.199714660644531,0.016953974962234497,0.9306880235671997,4.0,1.4336152076721191,2.000000238418579,cvar,3139.0,20.0,2.0,vanilla,100.0,False,False,2.5081310272216797,4.9980034828186035
proto_source=vanilla_k=100_weighted=0_learnw=0,val,1234,proto,5.265984535217285,2.7404444217681885,0.42251500487327576,1.3462773561477661,0.7659804224967957,4.974848747253418,10.744935035705566,0.004464285714285714,-0.021169060841202736,5.304288387298584,0.017134908586740494,0.9415793418884277,4.0,1.4300435781478882,2.000000238418579,cvar,672.0,20.0,2.0,vanilla,100.0,False,False,2.5081310272216797,4.9980034828186035
proto_source=vanilla_k=100_weighted=0_learnw=0,test,1234,proto,5.055725574493408,2.8436331748962402,-0.12999916076660156,1.0302438735961914,0.28590744733810425,4.667171955108643,10.479598999023438,0.013353115727002967,-0.020197231322526932,5.092491626739502,0.016568809747695923,0.9061658382415771,4.0,1.4317572116851807,2.0,cvar,674.0,20.0,2.0,vanilla,100.0,False,False,2.5081310272216797,4.9980034828186035
