PERMNO,date,PRC
60716,1974-10-30,-7.87500
60716,1974-10-31,-7.37500
60716,1974-11-01,-7.87500
60716,1974-11-04,-8.37500
60716,1974-11-05,-8.62500
60716,1974-11-06,-8.37500
60716,1974-11-07,-8.37500
60716,1974-11-08,-8.37500
60716,1974-11-11,-8.37500
60716,1974-11-12,-7.87500
60716,1974-11-13,-7.87500
60716,1974-11-14,-7.87500
60716,1974-11-15,-6.12500
60716,1974-11-18,-6.12500
60716,1974-11-19,-5.62500
60716,1974-11-20,-5.87500
60716,1974-11-21,-5.87500
60716,1974-11-22,-5.87500
60716,1974-11-25,-5.87500
60716,1974-11-26,-6.37500
60716,1974-11-27,-6.62500
60716,1974-11-29,-6.37500
60716,1974-12-02,-5.87500
60716,1974-12-03,-6.12500
60716,1974-12-04,-5.87500
60716,1974-12-05,-5.87500
60716,1974-12-06,-5.62500
60716,1974-12-09,-5.62500
60716,1974-12-10,-5.87500
60716,1974-12-11,-6.12500
60716,1974-12-12,-6.37500
60716,1974-12-13,-6.12500
60716,1974-12-16,-6.12500
60716,1974-12-17,-6.37500
60716,1974-12-18,-6.37500
60716,1974-12-19,-6.12500
60716,1974-12-20,-5.87500
60716,1974-12-23,-5.87500
60716,1974-12-24,-6.12500
60716,1974-12-26,-6.12500
60716,1974-12-27,-5.87500
60716,1974-12-30,-5.62500
60716,1974-12-31,-5.87500
60716,1975-01-02,-5.87500
60716,1975-01-03,-6.12500
60716,1975-01-06,-5.87500
60716,1975-01-07,-5.62500
60716,1975-01-08,-5.87500
60716,1975-01-09,-6.62500
60716,1975-01-10,-7.37500
60716,1975-01-13,-8.12500
60716,1975-01-14,-8.12500
60716,1975-01-15,-8.37500
60716,1975-01-16,-8.62500
60716,1975-01-17,-8.87500
60716,1975-01-20,-8.87500
60716,1975-01-21,-8.37500
60716,1975-01-22,-8.62500
60716,1975-01-23,-8.62500
60716,1975-01-24,-8.62500
60716,1975-01-27,-9.37500
60716,1975-01-28,-10.12500
60716,1975-01-29,-10.37500
60716,1975-01-30,-10.62500
60716,1975-01-31,-11.87500
60716,1975-02-03,-11.87500
60716,1975-02-04,-11.37500
60716,1975-02-05,-10.62500
60716,1975-02-06,-10.37500
60716,1975-02-07,-10.37500
60716,1975-02-10,-10.37500
60716,1975-02-11,-11.12500
60716,1975-02-12,-13.12500
60716,1975-02-13,-12.62500
60716,1975-02-14,-11.87500
60716,1975-02-18,-11.37500
60716,1975-02-19,-11.62500
60716,1975-02-20,-11.87500
60716,1975-02-21,-11.87500
60716,1975-02-24,-10.62500
60716,1975-02-25,-10.37500
60716,1975-02-26,-10.62500
60716,1975-02-27,-10.87500
60716,1975-02-28,-11.12500
60716,1975-03-03,-11.37500
60716,1975-03-04,-12.37500
60716,1975-03-05,-12.12500
60716,1975-03-06,-12.37500
60716,1975-03-07,-12.62500
60716,1975-03-10,-12.62500
60716,1975-03-11,-12.87500
60716,1975-03-12,-11.87500
60716,1975-03-13,-12.12500
60716,1975-03-14,-12.12500
60716,1975-03-17,-12.62500
60716,1975-03-18,-12.62500
60716,1975-03-19,-12.37500
60716,1975-03-20,-12.87500
60716,1975-03-21,-13.37500
60716,1975-03-24,-12.87500
60716,1975-03-25,-13.37500
60716,1975-03-26,-14.37500
60716,1975-03-27,-15.12500
60716,1975-03-31,-15.37500
60716,1975-04-01,-15.37500
60716,1975-04-02,-15.37500
60716,1975-04-03,-15.37500
60716,1975-04-04,-14.87500
60716,1975-04-07,-14.37500
60716,1975-04-08,-14.37500
60716,1975-04-09,-14.62500
60716,1975-04-10,-15.12500
60716,1975-04-11,-15.12500
60716,1975-04-14,-15.12500
60716,1975-04-15,-14.87500
60716,1975-04-16,-15.12500
60716,1975-04-17,-15.37500
60716,1975-04-18,-15.12500
60716,1975-04-21,-14.87500
60716,1975-04-22,-13.37500
60716,1975-04-23,-11.37500
60716,1975-04-24,-12.12500
60716,1975-04-25,-12.87500
60716,1975-04-28,-13.12500
60716,1975-04-29,-12.87500
60716,1975-04-30,-13.37500
60716,1975-05-01,-13.12500
60716,1975-05-02,-13.12500
60716,1975-05-05,-12.62500
60716,1975-05-06,-12.62500
60716,1975-05-07,-12.62500
60716,1975-05-08,-12.87500
60716,1975-05-09,-12.37500
60716,1975-05-12,-11.62500
60716,1975-05-13,-11.62500
60716,1975-05-14,-12.62500
60716,1975-05-15,-12.12500
60716,1975-05-16,-12.12500
60716,1975-05-19,-12.37500
60716,1975-05-20,-12.37500
60716,1975-05-21,-11.87500
60716,1975-05-22,-12.12500
60716,1975-05-23,-12.62500
60716,1975-05-27,-12.37500
60716,1975-05-28,-12.12500
60716,1975-05-29,-12.37500
60716,1975-05-30,-13.12500
60716,1975-06-02,-13.37500
60716,1975-06-03,-12.87500
60716,1975-06-04,-12.87500
60716,1975-06-05,-12.87500
60716,1975-06-06,-12.87500
60716,1975-06-09,-12.62500
60716,1975-06-10,-12.37500
60716,1975-06-11,-12.62500
60716,1975-06-12,-12.62500
60716,1975-06-13,-12.62500
60716,1975-06-16,-12.87500
60716,1975-06-17,-13.62500
60716,1975-06-18,-14.37500
60716,1975-06-19,-14.87500
60716,1975-06-20,-15.62500
60716,1975-06-23,-16.37500
60716,1975-06-24,-16.37500
60716,1975-06-25,-16.12500
60716,1975-06-26,-15.62500
60716,1975-06-27,-15.87500
60716,1975-06-30,-15.87500
60716,1975-07-01,-14.37500
60716,1975-07-02,-13.87500
60716,1975-07-03,-14.37500
60716,1975-07-07,-14.12500
60716,1975-07-08,-14.12500
60716,1975-07-09,-14.62500
60716,1975-07-10,-15.12500
60716,1975-07-11,-16.37500
60716,1975-07-14,-17.87500
60716,1975-07-15,-18.62500
60716,1975-07-16,-17.37500
60716,1975-07-17,-17.12500
60716,1975-07-18,-17.12500
60716,1975-07-21,-16.87500
60716,1975-07-22,-16.62500
60716,1975-07-23,-16.12500
60716,1975-07-24,-15.12500
60716,1975-07-25,-14.62500
60716,1975-07-28,-15.37500
60716,1975-07-29,-15.12500
60716,1975-07-30,-15.37500
60716,1975-07-31,-15.62500
60716,1975-08-01,-15.12500
60716,1975-08-04,-15.37500
60716,1975-08-05,-14.87500
60716,1975-08-06,-16.37500
60716,1975-08-07,-16.37500
60716,1975-08-08,-16.12500
60716,1975-08-11,-15.62500
60716,1975-08-12,-15.12500
60716,1975-08-13,-14.62500
60716,1975-08-14,-14.87500
60716,1975-08-15,-14.87500
60716,1975-08-18,-15.12500
60716,1975-08-19,-14.62500
60716,1975-08-20,-13.87500
60716,1975-08-21,-13.87500
60716,1975-08-22,-14.12500
60716,1975-08-25,-14.37500
60716,1975-08-26,-13.87500
60716,1975-08-27,-13.87500
60716,1975-08-28,-14.37500
60716,1975-08-29,-14.62500
60716,1975-09-02,-14.37500
60716,1975-09-03,-14.37500
60716,1975-09-04,-14.37500
60716,1975-09-05,-14.37500
60716,1975-09-08,-13.62500
60716,1975-09-09,-13.37500
60716,1975-09-10,-12.62500
60716,1975-09-11,-12.62500
60716,1975-09-12,-12.87500
60716,1975-09-15,-12.87500
60716,1975-09-16,-12.87500
60716,1975-09-17,-12.87500
60716,1975-09-18,-12.87500
